Threshold,Max Holding Days,Profit Target,Stop Loss,Initial Capital,Final Portfolio Value,Total Return (%),Buy & Hold Return (%),Strategy Outperformance (%),Annualized Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Number of Trades,Win Rate (%),Avg Profit ($),Avg Loss ($),Profit Factor
0.1,5,0.05,0.03,100,92.93848060787712,-7.061519392122875,3.7589533368075725,-10.820472728930447,-7.084889080391044,8.305017901399934,-1.0939036120391326,-14.928481395749646,45,40.909090909090914,1.7159771473384424,-1.6867217878074163,1.0173445079932568
0.1,5,0.05,0.05,100,107.26924537276261,7.269245372762612,3.7589533368075725,3.510292035955039,7.2950976496181985,8.964374447293572,0.5906823371503448,-8.565464830290372,48,62.5,1.6213429482023578,-1.8265475311261754,0.8876543974756043
0.1,5,0.05,0.07,100,113.22641353716564,13.22641353716564,3.7589533368075725,9.467460200358069,13.274723649626408,8.955535157146382,1.2589670468357603,-4.964096939164143,52,73.07692307692307,1.6380557835651648,-2.458728642111244,0.6662206457068034
0.1,5,0.05,0.1,100,99.14327117972532,-0.8567288202746823,3.7589533368075725,-4.615682157082255,-0.859658201355773,9.833494919567288,-0.2908079197422933,-10.933595713683282,52,65.38461538461539,1.5258019826954072,-2.9048578111108814,0.5252587499668038
0.1,5,0.1,0.03,100,91.52410549146907,-8.475894508530928,3.7589533368075725,-12.2348478453385,-8.503727118794469,8.012694507156576,-1.310885758768541,-15.13006578827294,43,33.33333333333333,1.7927214372130589,-1.4582686387241444,1.2293492362158531
0.1,5,0.1,0.05,100,106.76059319736383,6.760593197363832,3.7589533368075725,3.001639860556259,6.784579884289732,10.139560053774412,0.4718725328234227,-9.09054674722026,50,56.00000000000001,1.716752963261061,-1.5134516186622198,1.1343295960650164
0.1,5,0.1,0.07,100,98.21913086759056,-1.7808691324094355,3.7589533368075725,-5.539822469217008,-1.7869297856517585,10.34718746527877,-0.36598638986287396,-10.648706976805228,51,48.0,1.7445063671557663,-1.6981700474990464,1.0272860304684805
0.1,5,0.1,0.1,100,97.99107265864295,-2.008927341357051,3.7589533368075725,-5.767880678164623,-2.0157561277702962,11.007640569859735,-0.3648153391532358,-10.401247370617952,52,50.0,1.889313865370899,-1.9944635072925505,0.9472792349736244
0.1,5,0.15,0.03,100,87.72073966947617,-12.279260330523826,3.7589533368075725,-16.038213667331398,-12.31871730099574,8.572570769805749,-1.670294440896193,-16.585963307131486,44,31.818181818181817,1.5698956942897948,-1.5165377163176672,1.035184075805043
0.1,5,0.15,0.05,100,103.3274747683401,3.327474768340096,3.7589533368075725,-0.4314785684674763,3.3390902260772126,10.217295130943695,0.1310611281083285,-9.0905467472203,48,54.166666666666664,1.6381450128819697,-1.5789417222089996,1.037495551507843
0.1,5,0.15,0.07,100,100.49530553169552,0.4953055316955215,3.7589533368075725,-3.2636478051120505,0.4970106634321736,10.891613507908325,-0.13799510379949823,-12.946983317354102,52,57.692307692307686,1.4763233721366114,-1.9105576834091698,0.772718554878847
0.1,5,0.15,0.1,100,99.83151671738187,-0.1684832826181264,3.7589533368075725,-3.927436619425699,-0.16906137596410797,11.405268375462423,-0.19018065200733725,-12.705888818362254,52,57.692307692307686,1.5975016246457718,-2.135895721887463,0.7479305325046866
0.1,5,0.2,0.03,100,87.72073966947617,-12.279260330523826,3.7589533368075725,-16.038213667331398,-12.31871730099574,8.572570769805749,-1.670294440896193,-16.585963307131486,44,31.818181818181817,1.5698956942897948,-1.5165377163176672,1.035184075805043
0.1,5,0.2,0.05,100,106.58827650442636,6.588276504426361,3.7589533368075725,2.8293231676187878,6.61163307541619,10.229475502026352,0.4508181357394789,-9.0905467472203,51,56.00000000000001,1.5795759060313217,-1.3492300438337894,1.1707239349214407
0.1,5,0.2,0.07,100,102.06673432425009,2.066734324250092,3.7589533368075725,-1.6922190125574805,2.0739047191324245,10.360258001590864,0.007133482498319639,-12.946983317354102,51,56.00000000000001,1.4795825390799973,-1.6349298423422873,0.9049822816618656
0.1,5,0.2,0.1,100,92.88093734385451,-7.119062656145488,3.7589533368075725,-10.87801599295306,-7.142615371261341,11.489311926027478,-0.7957496001609972,-12.705888818362254,52,46.15384615384615,1.6392371689681575,-1.868668944558554,0.877221818097589
0.1,5,0.25,0.03,100,87.72073966947617,-12.279260330523826,3.7589533368075725,-16.038213667331398,-12.31871730099574,8.572570769805749,-1.670294440896193,-16.585963307131486,44,31.818181818181817,1.5698956942897948,-1.5165377163176672,1.035184075805043
0.1,5,0.25,0.05,100,104.92218035570767,4.922180355707667,3.7589533368075725,1.1632270189000946,4.939494214046247,10.302443286215714,0.2853201063459559,-9.0905467472203,51,56.00000000000001,1.457847319715112,-1.3461397771389154,1.0829836131977466
0.1,5,0.25,0.07,100,100.47131502911907,0.47131502911906864,3.7589533368075725,-3.2876383076885034,0.47293737730502716,10.429701364111486,-0.14641479840924138,-12.946983317354102,51,56.00000000000001,1.3630177564729051,-1.6319706667173428,0.8351974605123094
0.1,5,0.25,0.1,100,91.42910251667675,-8.57089748332325,3.7589533368075725,-12.329850820130822,-8.599027180402775,11.546894295590143,-0.9179115101495848,-12.950700827473918,52,46.15384615384615,1.5065898312048478,-1.8589138453655296,0.8104678089094537
0.1,10,0.05,0.03,100,89.43342668912571,-10.56657331087429,3.7589533368075725,-14.325526647681864,-10.600864599587156,8.453495579661942,-1.4906099471919365,-15.985852474743087,41,35.0,1.7047556625033253,-1.6907558157375606,1.008280229844815
