Date,Tweet_Count,Avg_Sentiment_Score,Positive_Count,Negative_Count,Neutral_Count,Positive_Ratio,Negative_Ratio
2021-10-25,462,0.538961038961039,289,40,133,0.6255411255411255,0.08658008658008658
2021-10-26,238,0.31512605042016806,111,36,91,0.46638655462184875,0.15126050420168066
2021-10-27,177,0.3728813559322034,87,21,69,0.4915254237288136,0.11864406779661017
2021-10-28,125,0.432,61,7,57,0.488,0.056
2021-10-29,189,0.38095238095238093,90,18,81,0.47619047619047616,0.09523809523809523
2021-10-30,95,0.28421052631578947,37,10,48,0.3894736842105263,0.10526315789473684
2021-10-31,99,0.46464646464646464,58,12,29,0.5858585858585859,0.12121212121212122
2021-11-01,261,0.3524904214559387,110,18,133,0.421455938697318,0.06896551724137931
2021-11-02,205,0.15121951219512195,76,45,84,0.37073170731707317,0.21951219512195122
2021-11-03,130,0.45384615384615384,71,12,47,0.5461538461538461,0.09230769230769231
2021-11-04,149,0.24161073825503357,54,18,77,0.3624161073825503,0.12080536912751678
2021-11-05,89,0.3707865168539326,42,9,38,0.47191011235955055,0.10112359550561797
2021-11-06,109,0.1559633027522936,34,17,58,0.3119266055045872,0.1559633027522936
2021-11-07,145,0.16551724137931034,36,12,97,0.2482758620689655,0.08275862068965517
2021-11-08,217,0.1889400921658986,81,40,96,0.37327188940092165,0.18433179723502305
2021-11-09,201,0.13930348258706468,62,34,105,0.30845771144278605,0.1691542288557214
2021-11-10,189,0.1164021164021164,61,39,89,0.32275132275132273,0.20634920634920634
2021-11-11,151,0.052980132450331126,47,39,65,0.31125827814569534,0.2582781456953642
2021-11-12,129,0.2248062015503876,52,23,54,0.40310077519379844,0.17829457364341086
2021-11-13,69,0.2753623188405797,26,7,36,0.37681159420289856,0.10144927536231885
2021-11-14,87,0.14942528735632185,37,24,26,0.42528735632183906,0.27586206896551724
2021-11-15,151,0.07947019867549669,42,30,79,0.2781456953642384,0.1986754966887417
2021-11-16,129,0.17054263565891473,49,27,53,0.3798449612403101,0.20930232558139536
2021-11-17,113,0.3185840707964602,46,10,57,0.40707964601769914,0.08849557522123894
2021-11-18,128,0.15625,38,18,72,0.296875,0.140625
2021-11-19,123,0.37398373983739835,56,10,57,0.45528455284552843,0.08130081300813008
2021-11-20,69,0.2463768115942029,25,8,36,0.36231884057971014,0.11594202898550725
2021-11-21,78,0.21794871794871795,32,15,31,0.41025641025641024,0.19230769230769232
2021-11-22,124,0.24193548387096775,47,17,60,0.3790322580645161,0.13709677419354838
2021-11-23,126,0.29365079365079366,57,20,49,0.4523809523809524,0.15873015873015872
2021-11-24,98,0.23469387755102042,33,10,55,0.336734693877551,0.10204081632653061
2021-11-25,61,0.5737704918032787,40,5,16,0.6557377049180327,0.08196721311475409
2021-11-26,87,0.3218390804597701,42,14,31,0.4827586206896552,0.16091954022988506
2021-11-27,47,0.46808510638297873,27,5,15,0.574468085106383,0.10638297872340426
2021-11-28,44,0.4090909090909091,20,2,22,0.45454545454545453,0.045454545454545456
2021-11-29,97,0.35051546391752575,41,7,49,0.422680412371134,0.07216494845360824
2021-11-30,98,0.2857142857142857,38,10,50,0.3877551020408163,0.10204081632653061
2021-12-01,115,0.22608695652173913,40,14,61,0.34782608695652173,0.12173913043478261
2021-12-02,116,0.39655172413793105,53,7,56,0.45689655172413796,0.0603448275862069
2021-12-03,117,0.05982905982905983,40,33,44,0.3418803418803419,0.28205128205128205
2021-12-04,68,0.20588235294117646,22,8,38,0.3235294117647059,0.11764705882352941
2021-12-05,69,0.4057971014492754,30,2,37,0.43478260869565216,0.028985507246376812
2021-12-06,161,0.2546583850931677,58,17,86,0.36024844720496896,0.10559006211180125
2021-12-07,116,0.22413793103448276,43,17,56,0.3706896551724138,0.14655172413793102
2021-12-08,102,0.39215686274509803,47,7,48,0.46078431372549017,0.06862745098039216
2021-12-09,107,0.16822429906542055,43,25,39,0.40186915887850466,0.2336448598130841
2021-12-10,109,0.12844036697247707,43,29,37,0.3944954128440367,0.26605504587155965
2021-12-11,71,0.2676056338028169,27,8,36,0.38028169014084506,0.11267605633802817
2021-12-12,51,0.4117647058823529,29,8,14,0.5686274509803921,0.1568627450980392
2021-12-13,132,0.30303030303030304,63,23,46,0.4772727272727273,0.17424242424242425
2021-12-14,133,0.022556390977443608,43,40,50,0.3233082706766917,0.3007518796992481
2021-12-15,102,0.23529411764705882,40,16,46,0.39215686274509803,0.1568627450980392
2021-12-16,114,0.09649122807017543,46,35,33,0.40350877192982454,0.30701754385964913
2021-12-17,113,0.19469026548672566,39,17,57,0.34513274336283184,0.1504424778761062
2021-12-18,52,0.40384615384615385,28,7,17,0.5384615384615384,0.1346153846153846
2021-12-19,63,0.2857142857142857,28,10,25,0.4444444444444444,0.15873015873015872
2021-12-20,102,0.27450980392156865,44,16,42,0.43137254901960786,0.1568627450980392
2021-12-21,102,0.2549019607843137,41,15,46,0.4019607843137255,0.14705882352941177
2021-12-22,167,0.3712574850299401,78,16,73,0.46706586826347307,0.09580838323353294
2021-12-23,154,0.2922077922077922,69,24,61,0.44805194805194803,0.15584415584415584
2021-12-24,83,0.4939759036144578,50,9,24,0.6024096385542169,0.10843373493975904
2021-12-25,55,0.7818181818181819,44,1,10,0.8,0.01818181818181818
2021-12-26,57,0.3684210526315789,28,7,22,0.49122807017543857,0.12280701754385964
2021-12-27,116,0.4224137931034483,61,12,43,0.5258620689655172,0.10344827586206896
2021-12-28,105,0.4380952380952381,54,8,43,0.5142857142857142,0.0761904761904762
2021-12-29,167,0.32934131736526945,76,21,70,0.4550898203592814,0.12574850299401197
