Date,Close,High,Low,Open,Volume
4/3/20,32.00066757,34.36600113,31.22599983,33.96666718,338431500
4/6/20,34.41600037,34.73333359,33.19733429,34.08000183,223527000
4/7/20,36.36333466,37.66666794,35.48933411,36.33333206,268797000
4/8/20,36.58933258,37.14733124,35.55533218,36.94666672,189840000
4/9/20,38.20000076,38.3453331,37.14066696,37.47266769,204750000
4/13/20,43.39666748,43.46666718,38.70199966,39.34400177,337131000
4/14/20,47.32600021,49.45866776,46.16199875,46.59799957,458647500
4/15/20,48.65533447,50.20866776,47.33333206,49.46666718,353655000
4/16/20,49.68066788,50.63000107,47.11466599,47.79600143,309868500
4/17/20,50.25933456,51.66333389,49.84400177,51.48533249,196923000
4/20/20,49.75733185,51.0379982,47.48066711,48.84666824,221199000
4/21/20,45.78133392,50.22200012,44.91933441,48.67466736,303136500
4/22/20,48.8073349,48.93333435,45.91400146,46.93199921,212482500
4/23/20,47.04199982,48.93333435,46.87533188,48.50666809,198550500
4/24/20,48.3433342,48.71533203,46.54533386,47.38733292,198180000
4/27/20,53.25,53.29933167,49,49.17399979,310221000
4/28/20,51.27466583,53.66666794,50.44599915,53.04266739,228330000
4/29/20,53.36733246,53.54666519,52.21066666,52.6780014,243240000
4/30/20,52.12533188,57.98799896,50.90000153,57.01266861,427078500
5/1/20,46.75466537,51.51800156,45.5359993,50.33333206,487977000
5/4/20,50.74599838,50.79999924,46.53333282,46.73333359,288556500
5/5/20,51.2140007,53.26133347,50.81200027,52.652668,254875500
5/6/20,52.17200089,52.65333176,50.74066544,51.76666641,166848000
5/7/20,52.00266647,53.0933342,51.49000168,51.81399918,172915500
5/8/20,54.62799835,54.93333435,52.46733475,52.91799927,241297500
5/11/20,54.08599854,54.93333435,52.33333206,52.70066833,247794000
5/12/20,53.96066666,56.21933365,53.8666687,55.1333313,238603500
5/13/20,52.73066711,55.06666565,50.88666534,54.72200012,285982500
5/14/20,53.55533218,53.5573349,50.93333435,52,205233000
5/15/20,53.27799988,53.66999817,52.4366684,52.68999863,157776000
5/18/20,54.24200058,55.64799881,53.59199905,55.18533325,174987000
5/19/20,53.86733246,54.80466843,53.73866653,54.34466553,144547500
5/20/20,54.3706665,55.06666565,54.11999893,54.70000076,109639500
5/21/20,55.17333221,55.5,53.06666565,54.40000153,183819000
5/22/20,54.45866776,55.45199966,54.1333313,54.8113327,149812500
5/26/20,54.59133148,55.63999939,54.38066864,55.6333313,121345500
5/27/20,54.68199921,55.18066788,52.33333206,54.72399902,173242500
5/28/20,53.72066879,54.98333359,53.44599915,54.23400116,108834000
5/29/20,55.66666794,55.66666794,53.61399841,53.91666794,176467500
6/1/20,59.87333298,59.93333435,56.93999863,57.20000076,224092500
6/2/20,58.77066803,60.57733154,58.06666565,59.64666748,203484000
6/3/20,58.86399841,59.86266708,58.67333221,59.20800018,119242500
6/4/20,57.62533188,59.71666718,57.22933197,59.32533264,133315500
6/5/20,59.04399872,59.10133362,57.74666595,58.52266693,117178500
6/8/20,63.32799911,63.33333206,60.61066818,61.26666641,212620500
6/9/20,62.71133423,63.6293335,61.5953331,62.6673317,170823000
6/10/20,68.33666992,68.49866486,65.5,66.12533569,278451000
6/11/20,64.85600281,67.93066406,64.80000305,66.01333618,238747500
6/12/20,62.35200119,65.86533356,60.84000015,65.33333588,251451000
6/15/20,66.05999756,66.58933258,60.56666565,61.18600082,235458000
6/16/20,65.47533417,67.52532959,64.15933228,67.45666504,210766500
6/17/20,66.11933136,67,65.50466919,65.84733582,148362000
6/18/20,66.93066406,67.94667053,66.29799652,66.8666687,146278500
6/19/20,66.72666931,67.73133087,66.08933258,67.51866913,130195500
6/22/20,66.28800201,67.25866699,66.00133514,66.66333008,95436000
6/23/20,66.78533173,67.46666718,66.26733398,66.59200287,95479500
6/24/20,64.05666351,66.72533417,63.54266739,66.27400208,164394000
6/25/20,65.73200226,65.73200226,62.4766655,63.61800003,138817500
6/26/20,63.98266602,66.33333588,63.65800095,66.31866455,132823500
6/29/20,67.29000092,67.33333588,63.23466873,64.60066986,135396000
6/30/20,71.98733521,72.51266479,66.91533661,67.09999847,253777500
7/1/20,74.64199829,75.6886673,72.03333282,72.19999695,199903500
7/2/20,80.57733154,81.8666687,79.04000092,81.43199921,258751500
7/6/20,91.4386673,91.85266876,84.40266418,85.11266327,308548500
7/7/20,92.65733337,95.30000305,89.11399841,93.66733551,322345500
7/8/20,91.05867004,94.48400116,87.42266846,93.66666412,244669500
7/9/20,92.95200348,93.90399933,90.08533478,93.13266754,175764000
7/10/20,102.9766693,103.2613297,91.73400116,93.06666565,350064000
7/13/20,99.80400085,119.6660004,98.0739975,110.5999985,584781000
7/14/20,101.1200027,106,95.40000153,103.7333298,351271500
7/15/20,103.0673294,103.3333359,97.1333313,102.8666687,245517000
7/16/20,100.0426636,102.1139984,97.73332977,98.47733307,214512000
7/17/20,100.0559998,102.5006638,99.33333588,100.8966675,139950000
7/20/20,109.5333328,110,99.19999695,101.267334,256821000
7/21/20,104.5573349,111.6666641,103.8666687,109.3286667,241608000
7/22/20,106.1553345,108.4280014,104.1333313,106.5999985,212416500
7/23/20,100.8713303,112.5999985,98.71800232,111.9300003,364927500
7/24/20,94.46666718,97.66666412,91.10266876,94.40066528,290949000
7/27/20,102.6399994,103.1959991,94.19999695,95.66666412,240730500
7/28/20,98.43267059,104.3133316,98.2946701,100.2666702,237130500
7/29/20,99.9406662,102.3206635,99.1333313,100.0666656,141403500
7/30/20,99.16600037,100.8826675,98.06666565,99.19999695,114315000
7/31/20,95.38400269,101.1366653,94.73200226,101,183123000
8/3/20,99,100.6539993,96.29199982,96.61333466,132139500
8/4/20,99.1333313,101.8273315,97.46666718,99.66733551,126225000
8/5/20,99.00133514,99.98933411,97.88733673,99.53266907,74217000
8/6/20,99.305336,101.1539993,98.48400116,99.38866425,89884500
8/7/20,96.84733582,99.98332977,94.33399963,99.96932983,133446000
8/10/20,94.57133484,97.16666412,92.38933563,96.53333282,112834500
8/11/20,91.62599945,94.66666412,91,93.06666565,129387000
8/12/20,103.6506653,105.6666641,95.66666412,98,327441000
8/13/20,108.0666656,110.0786667,104.4840012,107.4000015,306379500
8/14/20,110.0473328,111.253334,108.4426651,110.9993362,188664000
8/17/20,122.3759995,123.0573349,111.5220032,111.8000031,303634500
8/18/20,125.8059998,128.2599945,123.0073318,126.5993347,247117500
8/19/20,125.2353363,127.4000015,122.7473297,124.3333359,183079500
8/20/20,133.4553375,134.7993317,123.8040009,124.0453339,309177000
8/21/20,136.665329,139.6993256,135.0033264,136.317337,322344000
8/24/20,134.2799988,141.9333344,128.5013275,141.7519989,300954000
8/25/20,134.889328,135.1966705,131.1999969,131.6593323,159883500
8/26/20,143.5446625,144.3999939,136.9086609,137.3333282,213591000
8/27/20,149.25,153.0399933,142.8333282,145.3639984,355395000
8/28/20,147.5599976,154.5659943,145.7680054,153.0079956,301218000
8/31/20,166.1066742,166.7133331,146.7033386,148.2033386,355123200
9/1/20,158.3500061,167.4966736,156.8366699,167.3800049,269523300
